stage,user_raw_input,extracted_value
WEIGHT,150 pounds,150
EQUIPMENT,I workout at a kettlebells,kettlebells
HEIGHT,195 cm,195
LEVEL,Just a intermediate,intermediate
DAYS,4 days,4
LEVEL,Pretty much a intermediate,intermediate
CONFIRMATION,Generate it,yes
DAYS,I have 3 days free,3
HEIGHT,About 177 cm,177
ALLERGIES,vegan,vegan
GREETING,Yes I am,yes
WEIGHT,277 pounds,277
DAYS,I have 2 days free,2
AGE,I just turned 21,21
LEVEL,I'd say beginner,beginner
CONSENT,Sure,yes
EQUIPMENT,Just kettlebells,kettlebells
CONFIRMATION,Go ahead,yes
EQUIPMENT,I workout at a home gym,home gym
AGE,I am 47,47
GREETING,Let's do it,yes
WEIGHT,About 180,180
DAYS,I can do 2 days a week,2
ALLERGIES,Nah,none
LEVEL,intermediate,intermediate
ALLERGIES,I'm allergic to shellfishs,shellfish
CONFIRMATION,That's right,yes
ALLERGIES,I have a gluten allergy,gluten
HEIGHT,180,180
INJURIES,I'm perfectly healthy,none
AGE,I am 60,60
EQUIPMENT,I workout at a full gym,full gym
GOAL,Looking to build muscle,build muscle
GREETING,I'm ready,yes
LEVEL,I am a pro,pro
GOAL,Looking to get shredded,get shredded
WEIGHT,Around 291,291
AGE,28,28
GOAL,Looking to get shredded,get shredded
CONSENT,I don't consent,no
GOAL,get shredded,get shredded
GOAL,I want to get shredded,get shredded
EQUIPMENT,bodyweight,bodyweight
DAYS,About 2 days,2
LEVEL,intermediate,intermediate
INJURIES,twisted ankle,twisted ankle
EQUIPMENT,I only have dumbbells,dumbbells
DAYS,About 2 days,2
DAYS,I have 4 days free,4
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
WEIGHT,Around 147,147
LEVEL,Pretty much a novice,novice
AGE,I am 64 years old,64
DAYS,About 5 days,5
HEIGHT,I am 165 centimeters,165
WEIGHT,Around 146,146
CONFIRMATION,Incorrect,no
HEIGHT,176 cm,176
DAYS,I have 5 days free,5
INJURIES,I have a tennis elbow,tennis elbow
GOAL,tone up,tone up
CONSENT,I don't consent,no
AGE,I just turned 48,48
WEIGHT,About 274,274
CONSENT,I consent,yes
DAYS,I can do 3 days a week,3
DAYS,5,5
HEIGHT,182,182
CONSENT,Nah,no
WEIGHT,233,233
GOAL,get shredded,get shredded
WEIGHT,Around 124,124
CONFIRMATION,No,no
CONSENT,Nah,no
CONSENT,Nah,no
EQUIPMENT,I only have dumbbells,dumbbells
DAYS,About 5 days,5
LEVEL,Pretty much a novice,novice
WEIGHT,I am 144 lbs,144
DAYS,I have 6 days free,6
GREETING,Yes,yes
ALLERGIES,gluten,gluten
WEIGHT,About 295,295
EQUIPMENT,I have access to kettlebells,kettlebells
GREETING,Not yet,no
CONFIRMATION,Looks correct,yes
GREETING,Not yet,no
GREETING,Yes I am,yes
AGE,I am 59 years old,59
EQUIPMENT,I have access to full gym,full gym
INJURIES,No,none
INJURIES,No,none
HEIGHT,I am 171 centimeters,171
WEIGHT,108 pounds,108
INJURIES,I'm perfectly healthy,none
LEVEL,Just a novice,novice
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
INJURIES,twisted ankle,twisted ankle
CONFIRMATION,That is wrong,no
LEVEL,pro,pro
GREETING,Absolutely,yes
GREETING,Absolutely,yes
AGE,I just turned 33,33
INJURIES,lower back pain,lower back pain
CONFIRMATION,Wait,no
WEIGHT,259,259
LEVEL,I am a beginner,beginner
EQUIPMENT,I workout at a full gym,full gym
GOAL,get shredded,get shredded
HEIGHT,185 cm,185
ALLERGIES,I am vegan,vegan
DAYS,I can do 4 days a week,4
CONSENT,I would rather not,no
WEIGHT,About 182,182
ALLERGIES,I am vegan,vegan
GREETING,No,no
WEIGHT,About 290,290
CONFIRMATION,Go ahead,yes
INJURIES,Dealing with shoulder impingement,shoulder impingement
GREETING,Not ready,no
AGE,I just turned 36,36
GREETING,Yes I am,yes
GOAL,lose weight,lose weight
LEVEL,Pretty much a beginner,beginner
ALLERGIES,I am shellfish,shellfish
HEIGHT,I am 194 centimeters,194
INJURIES,Dealing with twisted ankle,twisted ankle
GREETING,Nah,no
AGE,I am 53,53
EQUIPMENT,Just home gym,home gym
DAYS,3,3
ALLERGIES,lactose intolerant,lactose intolerant
AGE,I am 45 years old,45
CONFIRMATION,That's right,yes
WEIGHT,About 268,268
AGE,53,53
GREETING,Give me a minute,no
LEVEL,I'd say advanced,advanced
GOAL,My goal is to tone up,tone up
ALLERGIES,peanut,peanut
INJURIES,I have a bad knee,bad knee
AGE,I am 30 years old,30
AGE,I am 19,19
HEIGHT,181 cm,181
GREETING,Yes,yes
WEIGHT,I am 256 lbs,256
INJURIES,Dealing with twisted ankle,twisted ankle
EQUIPMENT,I workout at a full gym,full gym
GOAL,tone up,tone up
DAYS,6 days,6
INJURIES,No,none
LEVEL,Pretty much a pro,pro
WEIGHT,I weigh 249 lbs,249
LEVEL,novice,novice
AGE,I am 57,57
EQUIPMENT,Just full gym,full gym
DAYS,I have 6 days free,6
ALLERGIES,I am lactose intolerant,lactose intolerant
AGE,I am 58,58
CONFIRMATION,Incorrect,no
GOAL,My goal is to get shredded,get shredded
GOAL,I want to get shredded,get shredded
INJURIES,My tennis elbow hurts sometimes,tennis elbow
INJURIES,I have a lower back pain,lower back pain
INJURIES,Dealing with shoulder impingement,shoulder impingement
WEIGHT,Around 277,277
LEVEL,Pretty much a novice,novice
CONFIRMATION,Wait,no
WEIGHT,267 pounds,267
ALLERGIES,I am vegan,vegan
GREETING,No,no
CONSENT,I don't consent,no
DAYS,About 4 days,4
GOAL,I want to tone up,tone up
INJURIES,My twisted ankle hurts sometimes,twisted ankle
DAYS,I have 2 days free,2
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
EQUIPMENT,dumbbells,dumbbells
AGE,I am 34,34
GREETING,Yes,yes
GREETING,Yes,yes
LEVEL,I am a advanced,advanced
LEVEL,I'd say beginner,beginner
INJURIES,I'm perfectly healthy,none
LEVEL,I'd say novice,novice
HEIGHT,181,181
CONFIRMATION,Generate it,yes
EQUIPMENT,I workout at a home gym,home gym
CONFIRMATION,That's right,yes
LEVEL,I am a novice,novice
DAYS,I have 3 days free,3
CONFIRMATION,Perfect,yes
LEVEL,Pretty much a pro,pro
AGE,I'm 46,46
HEIGHT,188,188
HEIGHT,I am 180 centimeters,180
GREETING,Nah,no
EQUIPMENT,I have access to resistance bands,resistance bands
INJURIES,No injuries,none
ALLERGIES,I am gluten,gluten
WEIGHT,About 146,146
CONSENT,Nah,no
WEIGHT,I weigh 282 lbs,282
ALLERGIES,Nope,none
WEIGHT,Around 298,298
LEVEL,Pretty much a intermediate,intermediate
DAYS,I can do 4 days a week,4
ALLERGIES,I'm allergic to shellfishs,shellfish
EQUIPMENT,Just full gym,full gym
INJURIES,Dealing with bad knee,bad knee
INJURIES,I have a twisted ankle,twisted ankle
LEVEL,I'd say pro,pro
LEVEL,I am a novice,novice
EQUIPMENT,full gym,full gym
EQUIPMENT,dumbbells,dumbbells
DAYS,About 6 days,6
GREETING,Not yet,no
DAYS,5,5
GOAL,Looking to endurance,endurance
WEIGHT,About 293,293
CONFIRMATION,That's right,yes
LEVEL,I'd say intermediate,intermediate
CONSENT,I would rather not,no
AGE,I am 25,25
INJURIES,I have a tennis elbow,tennis elbow
LEVEL,Pretty much a advanced,advanced
GREETING,I'm ready,yes
WEIGHT,Around 140,140
GOAL,Mainly to lose weight,lose weight
DAYS,About 5 days,5
HEIGHT,183 cm,183
INJURIES,My twisted ankle hurts sometimes,twisted ankle
WEIGHT,205,205
INJURIES,Dealing with lower back pain,lower back pain
GREETING,Give me a minute,no
LEVEL,Pretty much a novice,novice
GOAL,build muscle,build muscle
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
ALLERGIES,I'm allergic to glutens,gluten
EQUIPMENT,I workout at a full gym,full gym
INJURIES,I have a bad knee,bad knee
GOAL,Looking to lose weight,lose weight
WEIGHT,156,156
CONFIRMATION,That is wrong,no
CONFIRMATION,No,no
EQUIPMENT,I workout at a resistance bands,resistance bands
DAYS,5,5
GOAL,Mainly to tone up,tone up
ALLERGIES,I am vegan,vegan
EQUIPMENT,Just resistance bands,resistance bands
INJURIES,I have a twisted ankle,twisted ankle
GOAL,endurance,endurance
EQUIPMENT,I only have full gym,full gym
ALLERGIES,Nah,none
CONSENT,I consent,yes
HEIGHT,188,188
CONSENT,I don't consent,no
EQUIPMENT,Just resistance bands,resistance bands
AGE,I just turned 54,54
HEIGHT,I am 180 centimeters,180
WEIGHT,273 pounds,273
GOAL,endurance,endurance
WEIGHT,244 pounds,244
GOAL,tone up,tone up
INJURIES,tennis elbow,tennis elbow
ALLERGIES,I am peanut,peanut
CONSENT,I consent,yes
GREETING,Yeah let's go,yes
WEIGHT,I am 137 lbs,137
INJURIES,Dealing with tennis elbow,tennis elbow
DAYS,6 days,6
CONSENT,I consent,yes
GOAL,endurance,endurance
DAYS,I can do 4 days a week,4
EQUIPMENT,I only have home gym,home gym
EQUIPMENT,resistance bands,resistance bands
DAYS,2,2
WEIGHT,101 pounds,101
GOAL,I want to endurance,endurance
WEIGHT,121 pounds,121
AGE,I am 33,33
HEIGHT,About 166 cm,166
CONSENT,I would rather not,no
CONFIRMATION,No,no
INJURIES,I'm perfectly healthy,none
EQUIPMENT,Just home gym,home gym
EQUIPMENT,I have access to dumbbells,dumbbells
LEVEL,I am a advanced,advanced
CONFIRMATION,Incorrect,no
HEIGHT,About 183 cm,183
EQUIPMENT,I only have full gym,full gym
HEIGHT,About 162 cm,162
LEVEL,Just a pro,pro
ALLERGIES,I am gluten,gluten
CONSENT,Go ahead,yes
GOAL,Mainly to tone up,tone up
AGE,I just turned 16,16
CONSENT,Nope,no
EQUIPMENT,I only have full gym,full gym
EQUIPMENT,I workout at a dumbbells,dumbbells
INJURIES,shoulder impingement,shoulder impingement
HEIGHT,About 186 cm,186
EQUIPMENT,full gym,full gym
WEIGHT,Around 228,228
AGE,I'm 44,44
LEVEL,I'd say novice,novice
CONSENT,No,no
HEIGHT,About 188 cm,188
GREETING,Yes I am,yes
WEIGHT,Around 148,148
LEVEL,advanced,advanced
CONFIRMATION,I need to change something,no
AGE,I am 54,54
CONSENT,Go ahead,yes
CONSENT,Go ahead,yes
AGE,I am 16,16
HEIGHT,191 cm,191
GOAL,Looking to get shredded,get shredded
CONSENT,I would rather not,no
WEIGHT,Around 100,100
CONFIRMATION,Incorrect,no
DAYS,I can do 4 days a week,4
LEVEL,I am a pro,pro
GOAL,lose weight,lose weight
GREETING,Yes I am,yes
CONFIRMATION,Perfect,yes
GREETING,Not ready,no
CONSENT,Yes,yes
HEIGHT,I am 154 centimeters,154
LEVEL,Just a pro,pro
HEIGHT,151 cm,151
WEIGHT,201,201
HEIGHT,190 cm,190
WEIGHT,Around 191,191
INJURIES,Dealing with lower back pain,lower back pain
GOAL,Looking to endurance,endurance
GREETING,Ready,yes
AGE,I just turned 65,65
ALLERGIES,I am vegan,vegan
EQUIPMENT,I only have bodyweight,bodyweight
LEVEL,Pretty much a beginner,beginner
DAYS,About 3 days,3
AGE,I just turned 61,61
HEIGHT,186 cm,186
ALLERGIES,I am vegan,vegan
GREETING,Let's do it,yes
AGE,I just turned 55,55
DAYS,2 days,2
EQUIPMENT,I workout at a home gym,home gym
CONSENT,Yes you do,yes
CONSENT,No,no
CONSENT,I don't consent,no
GOAL,Looking to lose weight,lose weight
CONFIRMATION,I need to change something,no
DAYS,About 4 days,4
CONFIRMATION,Looks correct,yes
EQUIPMENT,I have access to resistance bands,resistance bands
AGE,53,53
CONSENT,No,no
HEIGHT,167 cm,167
WEIGHT,I am 138 lbs,138
CONFIRMATION,That is wrong,no
GREETING,Not ready,no
DAYS,4,4
AGE,I am 31,31
GOAL,My goal is to get shredded,get shredded
EQUIPMENT,I workout at a dumbbells,dumbbells
EQUIPMENT,Just full gym,full gym
LEVEL,I am a advanced,advanced
CONSENT,Nope,no
CONFIRMATION,Incorrect,no
CONSENT,Sure,yes
GREETING,Yes,yes
CONFIRMATION,That's right,yes
GOAL,My goal is to get shredded,get shredded
LEVEL,pro,pro
AGE,46,46
WEIGHT,Around 239,239
GREETING,Absolutely,yes
EQUIPMENT,I only have full gym,full gym
CONSENT,Yes you do,yes
DAYS,About 6 days,6
INJURIES,No,none
ALLERGIES,I'm allergic to vegans,vegan
GREETING,Not ready,no
GREETING,Give me a minute,no
AGE,36,36
ALLERGIES,I am vegan,vegan
WEIGHT,I am 285 lbs,285
LEVEL,Pretty much a advanced,advanced
GREETING,Not ready,no
LEVEL,I am a intermediate,intermediate
ALLERGIES,I am vegan,vegan
GOAL,Mainly to lose weight,lose weight
ALLERGIES,I'm allergic to peanuts,peanut
CONFIRMATION,Looks correct,yes
ALLERGIES,I have a gluten allergy,gluten
CONSENT,I consent,yes
CONFIRMATION,Perfect,yes
CONFIRMATION,Wait,no
GREETING,Yes I am,yes
EQUIPMENT,I only have home gym,home gym
HEIGHT,About 171 cm,171
INJURIES,tennis elbow,tennis elbow
CONSENT,I would rather not,no
GOAL,I want to build muscle,build muscle
HEIGHT,180 cm,180
CONSENT,Go ahead,yes
EQUIPMENT,bodyweight,bodyweight
EQUIPMENT,Just bodyweight,bodyweight
AGE,22,22
DAYS,I can do 2 days a week,2
LEVEL,Just a advanced,advanced
INJURIES,My bad knee hurts sometimes,bad knee
LEVEL,Just a advanced,advanced
DAYS,2 days,2
AGE,37,37
GOAL,I want to tone up,tone up
CONSENT,No,no
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
WEIGHT,194 pounds,194
CONSENT,Yes you do,yes
HEIGHT,170,170
CONFIRMATION,Wait,no
AGE,I just turned 48,48
ALLERGIES,I am lactose intolerant,lactose intolerant
GREETING,Nah,no
WEIGHT,About 106,106
DAYS,5 days,5
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
DAYS,About 6 days,6
CONFIRMATION,No,no
EQUIPMENT,I have access to bodyweight,bodyweight
CONFIRMATION,That's right,yes
CONFIRMATION,Go ahead,yes
DAYS,About 4 days,4
GREETING,Absolutely,yes
CONSENT,I consent,yes
WEIGHT,About 274,274
DAYS,About 3 days,3
CONFIRMATION,Wait,no
GOAL,Mainly to get shredded,get shredded
CONFIRMATION,Looks correct,yes
HEIGHT,About 150 cm,150
DAYS,I have 2 days free,2
GOAL,My goal is to build muscle,build muscle
GOAL,get shredded,get shredded
HEIGHT,162 cm,162
EQUIPMENT,I workout at a resistance bands,resistance bands
GREETING,Not yet,no
WEIGHT,205 pounds,205
GOAL,I want to endurance,endurance
CONSENT,Okay,yes
LEVEL,Just a novice,novice
HEIGHT,About 158 cm,158
CONSENT,Yeah that's fine,yes
HEIGHT,About 195 cm,195
GREETING,Let's do it,yes
WEIGHT,I am 211 lbs,211
ALLERGIES,I'm allergic to shellfishs,shellfish
AGE,52,52
WEIGHT,278 pounds,278
INJURIES,Dealing with shoulder impingement,shoulder impingement
GREETING,No,no
WEIGHT,I weigh 266 lbs,266
CONFIRMATION,Perfect,yes
INJURIES,I have a shoulder impingement,shoulder impingement
LEVEL,beginner,beginner
WEIGHT,134,134
DAYS,About 5 days,5
HEIGHT,184,184
EQUIPMENT,Just full gym,full gym
HEIGHT,I am 169 centimeters,169
HEIGHT,I am 186 centimeters,186
INJURIES,No,none
LEVEL,I'd say beginner,beginner
LEVEL,I'd say novice,novice
INJURIES,I have a shoulder impingement,shoulder impingement
LEVEL,Just a intermediate,intermediate
CONFIRMATION,That's right,yes
GOAL,I want to burn fat,burn fat
GOAL,I want to get shredded,get shredded
CONSENT,I don't consent,no
GREETING,Not yet,no
CONFIRMATION,That is wrong,no
AGE,I'm 35,35
WEIGHT,180 pounds,180
INJURIES,Dealing with tennis elbow,tennis elbow
WEIGHT,Around 239,239
HEIGHT,About 181 cm,181
ALLERGIES,I have a shellfish allergy,shellfish
GOAL,I want to endurance,endurance
INJURIES,No injuries,none
CONSENT,Okay,yes
HEIGHT,190 cm,190
EQUIPMENT,full gym,full gym
CONSENT,Nope,no
INJURIES,tennis elbow,tennis elbow
GREETING,Not yet,no
GREETING,Yes,yes
LEVEL,Pretty much a intermediate,intermediate
EQUIPMENT,I workout at a dumbbells,dumbbells
ALLERGIES,I am gluten,gluten
AGE,I just turned 58,58
ALLERGIES,I am shellfish,shellfish
DAYS,I have 2 days free,2
CONSENT,Nah,no
DAYS,About 6 days,6
AGE,I'm 57,57
CONSENT,I don't consent,no
CONFIRMATION,Perfect,yes
ALLERGIES,I'm allergic to glutens,gluten
DAYS,5 days,5
AGE,I am 23 years old,23
CONSENT,Go ahead,yes
AGE,I am 63 years old,63
WEIGHT,176 pounds,176
INJURIES,I have a lower back pain,lower back pain
DAYS,4,4
AGE,50,50
WEIGHT,203 pounds,203
GREETING,Let's do it,yes
WEIGHT,Around 221,221
AGE,I'm 55,55
AGE,I'm 21,21
INJURIES,My lower back pain hurts sometimes,lower back pain
WEIGHT,I am 112 lbs,112
GREETING,No,no
CONSENT,I consent,yes
WEIGHT,I am 213 lbs,213
GREETING,I'm ready,yes
AGE,27,27
DAYS,I can do 2 days a week,2
ALLERGIES,I'm allergic to peanuts,peanut
CONFIRMATION,Incorrect,no
EQUIPMENT,I only have full gym,full gym
INJURIES,Dealing with bad knee,bad knee
AGE,I am 29,29
ALLERGIES,I have a gluten allergy,gluten
CONFIRMATION,That is wrong,no
GREETING,Not ready,no
ALLERGIES,gluten,gluten
CONSENT,I would rather not,no
INJURIES,I have a shoulder impingement,shoulder impingement
AGE,I am 41,41
LEVEL,Just a novice,novice
CONSENT,Yes you do,yes
INJURIES,I'm perfectly healthy,none
EQUIPMENT,I have access to home gym,home gym
CONFIRMATION,I need to change something,no
CONSENT,Yeah that's fine,yes
GREETING,Give me a minute,no
EQUIPMENT,I workout at a kettlebells,kettlebells
GOAL,Mainly to tone up,tone up
ALLERGIES,I have a shellfish allergy,shellfish
EQUIPMENT,bodyweight,bodyweight
HEIGHT,171 cm,171
GREETING,Let's do it,yes
DAYS,6,6
AGE,I am 58,58
WEIGHT,About 176,176
DAYS,4 days,4
ALLERGIES,I have a vegan allergy,vegan
HEIGHT,176 cm,176
CONSENT,Nope,no
EQUIPMENT,Just kettlebells,kettlebells
EQUIPMENT,Just bodyweight,bodyweight
CONSENT,Nah,no
EQUIPMENT,I only have bodyweight,bodyweight
CONFIRMATION,Yes,yes
EQUIPMENT,I only have kettlebells,kettlebells
EQUIPMENT,I workout at a kettlebells,kettlebells
AGE,I just turned 46,46
CONFIRMATION,Wait,no
WEIGHT,I weigh 286 lbs,286
LEVEL,Pretty much a intermediate,intermediate
INJURIES,I have a bad knee,bad knee
GOAL,My goal is to lose weight,lose weight
WEIGHT,Around 163,163
AGE,I just turned 17,17
GOAL,Looking to endurance,endurance
LEVEL,I'd say intermediate,intermediate
GREETING,Ready,yes
ALLERGIES,I am peanut,peanut
INJURIES,Dealing with twisted ankle,twisted ankle
INJURIES,I have a twisted ankle,twisted ankle
AGE,I am 64 years old,64
GOAL,Mainly to tone up,tone up
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
GREETING,Ready,yes
ALLERGIES,I have a peanut allergy,peanut
CONSENT,Nope,no
HEIGHT,About 162 cm,162
AGE,I am 65,65
EQUIPMENT,I only have kettlebells,kettlebells
EQUIPMENT,I only have resistance bands,resistance bands
INJURIES,My twisted ankle hurts sometimes,twisted ankle
LEVEL,intermediate,intermediate
LEVEL,advanced,advanced
CONFIRMATION,That is wrong,no
GREETING,Nah,no
CONFIRMATION,Looks correct,yes
HEIGHT,186,186
ALLERGIES,I'm allergic to glutens,gluten
CONSENT,Yes you do,yes
WEIGHT,About 143,143
EQUIPMENT,I workout at a kettlebells,kettlebells
DAYS,2 days,2
ALLERGIES,I have a vegan allergy,vegan
WEIGHT,131,131
EQUIPMENT,full gym,full gym
INJURIES,My tennis elbow hurts sometimes,tennis elbow
INJURIES,My tennis elbow hurts sometimes,tennis elbow
LEVEL,intermediate,intermediate
HEIGHT,185,185
HEIGHT,About 184 cm,184
ALLERGIES,I'm allergic to peanuts,peanut
INJURIES,My lower back pain hurts sometimes,lower back pain
GREETING,Yes I am,yes
CONSENT,Yes you do,yes
WEIGHT,About 288,288
AGE,I am 41,41
HEIGHT,189,189
WEIGHT,About 173,173
ALLERGIES,peanut,peanut
GREETING,Not yet,no
EQUIPMENT,I workout at a kettlebells,kettlebells
CONSENT,Yes,yes
CONSENT,Yeah that's fine,yes
GOAL,Mainly to build muscle,build muscle
WEIGHT,I weigh 230 lbs,230
INJURIES,My twisted ankle hurts sometimes,twisted ankle
WEIGHT,241,241
ALLERGIES,I have a gluten allergy,gluten
EQUIPMENT,Just resistance bands,resistance bands
INJURIES,I have a lower back pain,lower back pain
HEIGHT,I am 150 centimeters,150
INJURIES,bad knee,bad knee
EQUIPMENT,I only have kettlebells,kettlebells
LEVEL,advanced,advanced
GREETING,Ready,yes
LEVEL,Pretty much a novice,novice
GREETING,Not yet,no
LEVEL,Pretty much a novice,novice
ALLERGIES,I am peanut,peanut
EQUIPMENT,I only have full gym,full gym
CONFIRMATION,Looks good,yes
INJURIES,Dealing with twisted ankle,twisted ankle
LEVEL,I'd say novice,novice
EQUIPMENT,bodyweight,bodyweight
CONFIRMATION,That is wrong,no
GOAL,Mainly to burn fat,burn fat
DAYS,6 days,6
DAYS,About 5 days,5
GREETING,Yes,yes
CONSENT,I don't consent,no
CONFIRMATION,Incorrect,no
CONSENT,No,no
LEVEL,I am a pro,pro
WEIGHT,156,156
CONSENT,Sure,yes
AGE,42,42
GREETING,Ready,yes
CONSENT,I would rather not,no
INJURIES,Dealing with twisted ankle,twisted ankle
ALLERGIES,lactose intolerant,lactose intolerant
HEIGHT,159,159
DAYS,I can do 6 days a week,6
HEIGHT,About 193 cm,193
AGE,29,29
GREETING,I'm ready,yes
CONFIRMATION,Go ahead,yes
DAYS,3 days,3
GOAL,My goal is to tone up,tone up
WEIGHT,About 268,268
EQUIPMENT,I workout at a resistance bands,resistance bands
LEVEL,pro,pro
CONSENT,I consent,yes
GOAL,Looking to lose weight,lose weight
GREETING,Yes,yes
EQUIPMENT,I workout at a kettlebells,kettlebells
LEVEL,I'd say pro,pro
AGE,I am 40,40
GOAL,My goal is to get shredded,get shredded
DAYS,I have 4 days free,4
GOAL,I want to get shredded,get shredded
AGE,38,38
ALLERGIES,I have a peanut allergy,peanut
INJURIES,I have a bad knee,bad knee
GREETING,Nah,no
WEIGHT,130,130
INJURIES,My lower back pain hurts sometimes,lower back pain
INJURIES,shoulder impingement,shoulder impingement
CONFIRMATION,Looks correct,yes
ALLERGIES,I am shellfish,shellfish
EQUIPMENT,I have access to resistance bands,resistance bands
LEVEL,novice,novice
GOAL,I want to build muscle,build muscle
GOAL,My goal is to endurance,endurance
HEIGHT,About 160 cm,160
WEIGHT,299 pounds,299
AGE,I'm 40,40
GREETING,Yes,yes
DAYS,6 days,6
INJURIES,I have a bad knee,bad knee
CONFIRMATION,Generate it,yes
GOAL,Mainly to endurance,endurance
GREETING,Absolutely,yes
DAYS,I can do 3 days a week,3
ALLERGIES,I'm allergic to glutens,gluten
EQUIPMENT,I only have home gym,home gym
CONSENT,Yeah that's fine,yes
AGE,I am 33,33
INJURIES,I have a lower back pain,lower back pain
CONFIRMATION,Incorrect,no
DAYS,3,3
AGE,I just turned 40,40
DAYS,6 days,6
AGE,28,28
AGE,I'm 54,54
CONFIRMATION,Generate it,yes
ALLERGIES,peanut,peanut
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
HEIGHT,I am 152 centimeters,152
HEIGHT,166 cm,166
ALLERGIES,I am peanut,peanut
GOAL,Looking to tone up,tone up
LEVEL,Just a pro,pro
ALLERGIES,I am gluten,gluten
CONFIRMATION,I need to change something,no
LEVEL,I am a beginner,beginner
CONSENT,I would rather not,no
WEIGHT,232,232
HEIGHT,I am 173 centimeters,173
CONFIRMATION,Perfect,yes
GOAL,get shredded,get shredded
HEIGHT,178,178
EQUIPMENT,bodyweight,bodyweight
GOAL,My goal is to endurance,endurance
INJURIES,Dealing with bad knee,bad knee
DAYS,6 days,6
AGE,I just turned 51,51
EQUIPMENT,I only have bodyweight,bodyweight
GOAL,I want to get shredded,get shredded
AGE,I am 35 years old,35
GREETING,Not ready,no
WEIGHT,I weigh 185 lbs,185
LEVEL,Just a pro,pro
WEIGHT,Around 105,105
WEIGHT,I weigh 202 lbs,202
AGE,I am 34 years old,34
CONSENT,Yes you do,yes
EQUIPMENT,bodyweight,bodyweight
CONSENT,Sure,yes
GOAL,Looking to build muscle,build muscle
EQUIPMENT,I workout at a kettlebells,kettlebells
GREETING,Give me a minute,no
HEIGHT,192 cm,192
WEIGHT,248,248
INJURIES,I have a shoulder impingement,shoulder impingement
CONFIRMATION,Wait,no
AGE,I just turned 20,20
CONSENT,Okay,yes
DAYS,3 days,3
CONSENT,I would rather not,no
CONSENT,Yes you do,yes
HEIGHT,I am 167 centimeters,167
EQUIPMENT,I have access to kettlebells,kettlebells
AGE,I'm 39,39
GREETING,Absolutely,yes
CONSENT,I would rather not,no
WEIGHT,148 pounds,148
LEVEL,I am a beginner,beginner
DAYS,I can do 6 days a week,6
GOAL,Looking to burn fat,burn fat
HEIGHT,About 190 cm,190
EQUIPMENT,I workout at a full gym,full gym
AGE,I am 26 years old,26
HEIGHT,About 155 cm,155
AGE,I'm 58,58
ALLERGIES,vegan,vegan
ALLERGIES,I'm allergic to peanuts,peanut
INJURIES,My bad knee hurts sometimes,bad knee
ALLERGIES,I am lactose intolerant,lactose intolerant
LEVEL,I'd say intermediate,intermediate
GOAL,Mainly to build muscle,build muscle
ALLERGIES,peanut,peanut
LEVEL,Just a advanced,advanced
HEIGHT,168,168
CONFIRMATION,I need to change something,no
DAYS,About 4 days,4
CONSENT,Nope,no
AGE,I am 65 years old,65
DAYS,I have 3 days free,3
GOAL,My goal is to build muscle,build muscle
ALLERGIES,I am lactose intolerant,lactose intolerant
GOAL,Looking to burn fat,burn fat
GOAL,burn fat,burn fat
DAYS,2 days,2
HEIGHT,157 cm,157
HEIGHT,176 cm,176
CONSENT,I don't consent,no
GOAL,endurance,endurance
GOAL,Looking to tone up,tone up
GREETING,Let's do it,yes
GREETING,Yeah let's go,yes
LEVEL,I am a novice,novice
AGE,I am 17 years old,17
HEIGHT,About 195 cm,195
INJURIES,bad knee,bad knee
DAYS,I have 3 days free,3
HEIGHT,168,168
DAYS,5 days,5
ALLERGIES,Nope,none
ALLERGIES,peanut,peanut
EQUIPMENT,bodyweight,bodyweight
DAYS,6 days,6
CONSENT,Nah,no
GOAL,Mainly to lose weight,lose weight
LEVEL,I am a advanced,advanced
CONSENT,I don't consent,no
WEIGHT,About 118,118
WEIGHT,About 126,126
GOAL,I want to get shredded,get shredded
CONFIRMATION,Perfect,yes
GREETING,Yeah let's go,yes
ALLERGIES,I am shellfish,shellfish
HEIGHT,156,156
ALLERGIES,vegan,vegan
GREETING,Not ready,no
DAYS,About 3 days,3
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
AGE,I'm 31,31
ALLERGIES,I am vegan,vegan
HEIGHT,About 194 cm,194
WEIGHT,I am 143 lbs,143
EQUIPMENT,I have access to full gym,full gym
EQUIPMENT,I have access to home gym,home gym
HEIGHT,I am 183 centimeters,183
GREETING,Ready,yes
HEIGHT,About 194 cm,194
DAYS,About 5 days,5
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
ALLERGIES,None,none
INJURIES,No injuries,none
EQUIPMENT,I have access to dumbbells,dumbbells
ALLERGIES,I'm allergic to glutens,gluten
CONSENT,Sure,yes
CONFIRMATION,Go ahead,yes
ALLERGIES,I am gluten,gluten
LEVEL,I am a novice,novice
CONSENT,Yes,yes
GOAL,Mainly to build muscle,build muscle
